GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Netflix,es.deusto.BSPQ20_E2.Netflix.client,Internationalization,3,24,0,0,1,1,1,1,1,1
Netflix,es.deusto.BSPQ20_E2.Netflix.pojo,Film,741,321,145,16,0,45,121,39,30,39
Netflix,es.deusto.BSPQ20_E2.Netflix.pojo,User,591,202,112,10,0,28,97,27,30,27
Netflix,es.deusto.BSPQ20_E2.Netflix.pojo,Transaction,431,81,71,4,0,10,69,14,30,14
Netflix,es.deusto.BSPQ20_E2.Netflix.server.db,DB,201,605,9,13,74,116,7,17,1,12
Netflix,es.deusto.BSPQ20_E2.Netflix.server,MyResource,5,0,0,0,2,0,2,0,2,0
Netflix,es.deusto.BSPQ20_E2.Netflix.server,Main,49,0,0,0,11,0,4,0,4,0
